,Unnamed: 0,DATE,NAME,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG,AWND,State Name,county Name,State Code,County Code,AQI,Category
164,164,2024-09-02,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,272,178,197.0,31.0,Maryland,Anne Arundel,24,3,36,Good
165,165,2024-09-03,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,250,128,183.0,21.0,Maryland,Anne Arundel,24,3,44,Good
166,166,2024-09-04,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,256,111,196.0,19.0,Maryland,Anne Arundel,24,3,47,Good
167,167,2024-09-06,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,267,144,201.0,22.0,Maryland,Anne Arundel,24,3,40,Good
168,168,2024-09-07,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3,0,0,250,117,159.0,27.0,Maryland,Anne Arundel,24,3,25,Good
169,169,2024-09-08,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,233,78,175.0,21.0,Maryland,Anne Arundel,24,3,37,Good
170,170,2024-09-10,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,306,117,217.0,21.0,Maryland,Anne Arundel,24,3,51,Moderate
171,171,2024-09-11,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,294,133,221.0,24.0,Maryland,Anne Arundel,24,3,61,Moderate
172,172,2024-09-13,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,278,167,223.0,27.0,Maryland,Anne Arundel,24,3,40,Good
173,173,2024-09-15,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,294,144,208.0,47.0,Maryland,Anne Arundel,24,3,44,Good
174,174,2024-09-16,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,256,167,226.0,51.0,Maryland,Anne Arundel,24,3,38,Good
175,175,2024-09-17,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5,0,0,256,206,221.0,42.0,Maryland,Anne Arundel,24,3,31,Good
176,176,2024-09-18,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",69,0,0,250,200,237.0,22.0,Maryland,Anne Arundel,24,3,31,Good
177,177,2024-09-19,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,306,178,225.0,17.0,Maryland,Anne Arundel,24,3,46,Good
178,178,2024-09-20,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,294,161,229.0,22.0,Maryland,Anne Arundel,24,3,54,Moderate
179,179,2024-09-21,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",15,0,0,272,194,209.0,31.0,Maryland,Anne Arundel,24,3,40,Good
180,180,2024-09-22,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",69,0,0,228,178,192.0,27.0,Maryland,Anne Arundel,24,3,35,Good
